post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47673005,We found an undocumented bug in the Apollo 11 guidance computer code,technology,46,11,henrygarner,2026-04-07 21:45:09,0.23404255319148937,False
47672295,Every GPU That Mattered,technology,122,62,jonbaer,2026-04-07 21:45:10,0.5040650406504065,False
47672318,Blackholing My Email,technology,29,0,semyonsh,2026-04-07 21:45:11,0.0,False
47660925,Issue: Claude Code is unusable for complex engineering tasks with Feb updates,technology,1147,630,StanAngeloff,2026-04-07 21:45:18,0.5487804878048781,True
47641528,Apollo Guidance Computer restoration videos,technology,69,9,mariuz,2026-04-07 21:45:24,0.12857142857142856,False
47662596,AI singer now occupies eleven spots on iTunes singles chart,technology,204,307,flinner,2026-04-07 21:45:26,1.497560975609756,False
47667672,"Show HN: Hippo, biologically inspired memory for AI agents",technology,109,22,kitfunso,2026-04-07 21:45:30,0.2,False
47661065,"The team behind a pro-Iran, Lego-themed viral-video campaign",technology,140,216,tantalor,2026-04-07 21:45:36,1.5319148936170213,False
47664205,Adobe modifies hosts file to detect whether Creative Cloud is installed,technology,311,148,rglullis,2026-04-07 21:45:45,0.47435897435897434,True
47655408,Show HN: I built a tiny LLM to demystify how language models work,technology,876,129,armanified,2026-04-07 21:45:47,0.14709236031927023,True
47652007,"Show HN: Real-time AI (audio/video in, voice out) on an M3 Pro with Gemma E2B",technology,275,35,karimf,2026-04-07 21:45:51,0.12681159420289856,True
47656981,"Drop, formerly Massdrop, ends most collaborations and rebrands under Corsair",technology,130,70,stevebmark,2026-04-07 21:45:54,0.5343511450381679,False
47655367,"Show HN: Gemma Gem – AI model embedded in a browser – no API keys, no cloud",technology,152,21,ikessler,2026-04-07 21:45:55,0.13725490196078433,False
47648828,"Eight years of wanting, three months of building with AI",technology,932,290,brilee,2026-04-07 21:46:02,0.3108252947481243,True
47655466,Employers use your personal data to figure out the lowest salary you'll accept,technology,441,280,thisislife2,2026-04-07 21:46:10,0.6334841628959276,True
47649742,Nanocode: The best Claude Code that $200 can buy in pure JAX on TPUs,technology,214,26,desideratum,2026-04-07 21:46:11,0.12093023255813953,False
47667798,"Bernie Sanders: ""AI Is a Threat to Everything the American People Hold Dear""",technology,59,51,fortran77,2026-04-07 21:46:16,0.85,False
47640728,Show HN: A game where you build a GPU,technology,951,185,Jaso1024,2026-04-07 21:46:18,0.19432773109243698,True
47651540,Running Gemma 4 locally with LM Studio's new headless CLI and Claude Code,technology,399,98,vbtechguy,2026-04-07 21:46:20,0.245,True
47668658,"The back story behind the first ""$1.8B"" dollar ""AI Company""",technology,59,9,chermanowicz,2026-04-07 21:46:21,0.15,False
47640380,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,524,241,naves,2026-04-07 21:46:35,0.45904761904761904,True
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1091,828,firloop,2026-04-07 21:46:44,0.7582417582417582,True
47670981,"Three hundred synths, 3 hardware projects, and one app",worldnews,61,2,ductionist,2026-04-07 21:46:58,0.03225806451612903,False
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,311,154,Bender,2026-04-07 21:47:09,0.4935897435897436,True
47662945,Show HN: GovAuctions lets you browse government auctions at once,worldnews,289,82,player_piano,2026-04-07 21:47:10,0.2827586206896552,True
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,963,603,zaikunzhang,2026-04-07 21:48:05,0.6255186721991701,True
47671498,When War Crimes Rhetoric Becomes Battlefield Reality,worldnews,33,34,dogscatstrees,2026-04-07 21:48:08,1.0,False
47669649,Global Fuel Shortage Pushes Governments Toward Demand Controls,worldnews,14,10,toomuchtodo,2026-04-07 21:48:29,0.6666666666666666,False
47672537,Trump dilemma for US officers: disobey orders or commit war crimes,worldnews,5,0,KnuthIsGod,2026-04-07 21:49:25,0.0,False
47664308,JPMorgan warns Tesla stock could sink 60% in new note,worldnews,61,18,freediddy,2026-04-07 21:49:41,0.2903225806451613,False
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,591,209,pretext,2026-04-07 21:49:51,0.3530405405405405,True
47668127,Bitwarden Is Down,worldnews,16,3,zhan_eg,2026-04-07 21:50:14,0.17647058823529413,False
47653036,Satellite firm Planet Labs to indefinitely withold Iran war imagery,worldnews,42,12,anigbrowl,2026-04-07 21:50:43,0.27906976744186046,False
