post_id,title,category,score,num_comments,author,collected_at
47651540,Running Gemma 4 locally with LM Studio's new headless CLI and Claude Code,technology,399,98,vbtechguy,2026-04-07 21:46:20
47668658,"The back story behind the first ""$1.8B"" dollar ""AI Company""",technology,59,9,chermanowicz,2026-04-07 21:46:21
47640380,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,524,241,naves,2026-04-07 21:46:35
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1091,828,firloop,2026-04-07 21:46:44
47670981,"Three hundred synths, 3 hardware projects, and one app",worldnews,61,2,ductionist,2026-04-07 21:46:58
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,311,154,Bender,2026-04-07 21:47:09
47662945,Show HN: GovAuctions lets you browse government auctions at once,worldnews,289,82,player_piano,2026-04-07 21:47:10
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,963,603,zaikunzhang,2026-04-07 21:48:05
47671498,When War Crimes Rhetoric Becomes Battlefield Reality,worldnews,33,34,dogscatstrees,2026-04-07 21:48:08
47669649,Global Fuel Shortage Pushes Governments Toward Demand Controls,worldnews,14,10,toomuchtodo,2026-04-07 21:48:29
47672537,Trump dilemma for US officers: disobey orders or commit war crimes,worldnews,5,0,KnuthIsGod,2026-04-07 21:49:25
47664308,JPMorgan warns Tesla stock could sink 60% in new note,worldnews,61,18,freediddy,2026-04-07 21:49:41
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,591,209,pretext,2026-04-07 21:49:51
47668127,Bitwarden Is Down,worldnews,16,3,zhan_eg,2026-04-07 21:50:14
47653036,Satellite firm Planet Labs to indefinitely withold Iran war imagery,worldnews,42,12,anigbrowl,2026-04-07 21:50:43
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,76,42,1659447091,2026-04-07 21:50:52
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,297,148,Growtika,2026-04-07 21:51:10
47656682,Winners of the 2026 Kokuyo Design Awards,worldnews,52,17,zdw,2026-04-07 21:52:04
47650273,"Meta, Google under attack as court cases bypass 30-year-old legal shield",worldnews,18,10,1vuio0pswjnm7,2026-04-07 21:52:23
47618221,The Australian government has announced gambling advertising reforms,worldnews,133,101,gostsamo,2026-04-07 21:52:42
47653816,UK intelligence censored report on global warming and homeland security,worldnews,100,59,ewidar,2026-04-07 21:53:43
47672778,Breaking the console: a brief history of video game security,sports,20,2,sprado,2026-04-07 21:54:00
47664186,"Battle for Wesnoth: open-source, turn-based strategy game",sports,500,140,akyuu,2026-04-07 21:54:33
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,294,186,keepamovin,2026-04-07 21:54:48
47637377,LÖVE: 2D Game Framework for Lua,sports,407,213,cl3misch,2026-04-07 21:55:09
47667008,Show HN: I built a site that turns your Steam gaming hours into a RL skill tree,sports,6,1,naorz,2026-04-07 21:55:51
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,221,145,pseudolus,2026-04-07 21:56:45
47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,783,367,hkmaxpro,2026-04-07 21:56:51
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,24,4,andsoitis,2026-04-07 21:57:11
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,61,angst,2026-04-07 21:57:25
47641615,Sopwith – 1984 Game (2000),sports,97,42,elvis70,2026-04-07 21:58:01
47662682,Tattoo ink induces inflammation and alters the immune response to vaccination,sports,14,0,ryan_j_naughton,2026-04-07 21:59:28
47627217,Running Out of Disk Space in Production,science,17,1,romes,2026-04-07 22:01:25
47665207,SOM: A minimal Smalltalk for teaching of and research on Virtual Machines,science,51,0,tosh,2026-04-07 22:01:56
47650502,Computational Physics (2nd Edition) (2025),science,181,22,teleforce,2026-04-07 22:02:23
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,116,64,salt4034,2026-04-07 22:02:27
47648404,My Google Workspace account suspension,science,368,217,zenincognito,2026-04-07 22:03:37
47629485,A case study in testing with 100+ Claude agents in parallel,science,66,54,thejash,2026-04-07 22:04:05
